Datetime,GR_load_actual_entsoe_transparency,GR_solar_generation_actual,GR_wind_onshore_generation_actual
2015-01-15 08:00:00+00:00,8.9358,0.1802,0.0876
2015-01-15 09:00:00+00:00,8.9234,0.1802,0.0876
2015-01-15 10:00:00+00:00,8.7942,0.1802,0.0876
2015-01-15 11:00:00+00:00,8.1406,0.1802,0.0876
2015-01-15 12:00:00+00:00,8.0878,0.1802,0.0876
2015-01-15 13:00:00+00:00,8.287,0.1802,0.0876
2015-01-15 14:00:00+00:00,8.425,0.1802,0.0876
2015-01-15 15:00:00+00:00,8.5794,0.1802,0.0876
2015-01-15 16:00:00+00:00,9.0806,0.1802,0.0876
2015-01-15 17:00:00+00:00,9.026,0.1802,0.0876
2015-01-15 18:00:00+00:00,8.7792,0.1802,0.0876
2015-01-15 19:00:00+00:00,8.2516,0.1802,0.0876
2015-01-15 20:00:00+00:00,7.619,0.1802,0.0876
2015-01-15 21:00:00+00:00,6.8574,0.1802,0.0876
2015-01-15 22:00:00+00:00,6.1628,0.1802,0.0876
2015-01-15 23:00:00+00:00,5.568,0.1802,0.0876
2015-01-16 00:00:00+00:00,5.1906,0.1802,0.0876
2015-01-16 01:00:00+00:00,4.9884,0.1802,0.0876
2015-01-16 02:00:00+00:00,4.9304,0.1802,0.0876
2015-01-16 03:00:00+00:00,5.0108,0.1802,0.0876
2015-01-16 04:00:00+00:00,5.3402,0.1802,0.0876
2015-01-16 05:00:00+00:00,6.5182,0.1802,0.0876
2015-01-16 06:00:00+00:00,7.915,0.1802,0.0876
2015-01-16 07:00:00+00:00,8.8826,0.1802,0.0876
2015-01-16 08:00:00+00:00,9.143,0.1802,0.0876
2015-01-16 09:00:00+00:00,8.9772,0.1802,0.0876
2015-01-16 10:00:00+00:00,8.8942,0.1802,0.0876
2015-01-16 11:00:00+00:00,8.3176,0.1802,0.0876
2015-01-16 12:00:00+00:00,8.1822,0.1802,0.0876
2015-01-16 13:00:00+00:00,8.5152,0.1802,0.0876
2015-01-16 14:00:00+00:00,8.7334,0.1802,0.0876
2015-01-16 15:00:00+00:00,8.9638,0.1802,0.0876
2015-01-16 16:00:00+00:00,9.4604,0.1802,0.0876
2015-01-16 17:00:00+00:00,9.3084,0.1802,0.0876
2015-01-16 18:00:00+00:00,8.9876,0.1802,0.0876
2015-01-16 19:00:00+00:00,8.3134,0.1802,0.0876
2015-01-16 20:00:00+00:00,7.5542,0.1802,0.0876
2015-01-16 21:00:00+00:00,6.7924,0.1802,0.0876
2015-01-16 22:00:00+00:00,6.0796,0.1802,0.0876
2015-01-16 23:00:00+00:00,5.4546,0.1802,0.0876
2015-01-17 00:00:00+00:00,5.0568,0.1802,0.0876
2015-01-17 01:00:00+00:00,4.8436,0.1802,0.0876
2015-01-17 02:00:00+00:00,4.7594,0.1802,0.0876
2015-01-17 03:00:00+00:00,4.6372,0.1802,0.0876
2015-01-17 04:00:00+00:00,4.7066,0.1802,0.0876
2015-01-17 05:00:00+00:00,5.2698,0.1802,0.0876
2015-01-17 06:00:00+00:00,6.0874,0.1802,0.0876
2015-01-17 07:00:00+00:00,6.7158,0.1802,0.0876
2015-01-17 08:00:00+00:00,7.1002,0.1802,0.0876
2015-01-17 09:00:00+00:00,7.0654,0.1802,0.0876
2015-01-17 10:00:00+00:00,6.8552,0.1802,0.0876
2015-01-17 11:00:00+00:00,6.4024,0.1802,0.0876
2015-01-17 12:00:00+00:00,6.0138,0.1802,0.0876
2015-01-17 13:00:00+00:00,5.9078,0.1802,0.0876
2015-01-17 14:00:00+00:00,5.991,0.1802,0.0876
2015-01-17 15:00:00+00:00,6.288,0.1802,0.0876
2015-01-17 16:00:00+00:00,7.1728,0.1802,0.0876
2015-01-17 17:00:00+00:00,7.5154,0.1802,0.0876
2015-01-17 18:00:00+00:00,7.4704,0.1802,0.0876
2015-01-17 19:00:00+00:00,6.9768,0.1802,0.0876
2015-01-17 20:00:00+00:00,6.3676,0.1802,0.0876
2015-01-17 21:00:00+00:00,5.8862,0.1802,0.0876
2015-01-17 22:00:00+00:00,5.3794,0.1802,0.0876
2015-01-17 23:00:00+00:00,4.8684,0.1802,0.0876
2015-01-18 00:00:00+00:00,4.4746,0.1802,0.0876
2015-01-18 01:00:00+00:00,4.2606,0.1802,0.0876
2015-01-18 02:00:00+00:00,4.144,0.1802,0.0876
2015-01-18 03:00:00+00:00,4.0984,0.1802,0.0876
2015-01-18 04:00:00+00:00,4.181,0.1802,0.0876
2015-01-18 05:00:00+00:00,4.4336,0.1802,0.0876
2015-01-18 06:00:00+00:00,4.7134,0.1802,0.0876
2015-01-18 07:00:00+00:00,5.0488,0.1802,0.0876
2015-01-18 08:00:00+00:00,5.5752,0.1802,0.0876
2015-01-18 09:00:00+00:00,5.9506,0.1802,0.0876
2015-01-18 10:00:00+00:00,6.0944,0.1802,0.0876
2015-01-18 11:00:00+00:00,6.0912,0.1802,0.0876
2015-01-18 12:00:00+00:00,5.7376,0.1802,0.0876
2015-01-18 13:00:00+00:00,5.532,0.1802,0.0876
2015-01-18 14:00:00+00:00,5.3796,0.1802,0.0876
2015-01-18 15:00:00+00:00,5.4332,0.1802,0.0876
2015-01-18 16:00:00+00:00,6.0916,0.1802,0.0876
2015-01-18 17:00:00+00:00,6.4828,0.1802,0.0876
2015-01-18 18:00:00+00:00,6.6096,0.1802,0.0876
2015-01-18 19:00:00+00:00,6.4266,0.1802,0.0876
2015-01-18 20:00:00+00:00,6.1012,0.1802,0.0876
2015-01-18 21:00:00+00:00,5.5946,0.1802,0.0876
2015-01-18 22:00:00+00:00,5.0426,0.1802,0.0876
