,Diesel Gen,PV Park
406,2.88011,0.0
407,2.62256,0.0
408,2.58616,0.0
409,2.47632,0.0
410,2.38612,0.0
411,2.36036,0.0
412,2.41484,0.0
413,2.46321,0.0260047
414,2.40738,0.243499
415,2.25771,0.654846
416,2.31247,0.900709
417,2.26015,1.18913
418,2.22264,1.24113
419,2.21557,1.18676
420,2.30439,0.881797
421,2.69261,0.560284
422,3.03643,0.231678
423,3.29992,0.0212766
424,3.57522,0.0
425,3.60443,0.0
426,3.55924,0.0
427,3.41413,0.0
428,3.17266,0.0
429,2.97885,0.0
430,2.66366,0.0
431,2.40532,0.0
432,2.38288,0.0
433,2.29476,0.0
434,2.22777,0.0
435,2.28093,0.0
436,2.53126,0.0
437,2.94971,0.0118203
438,2.97038,0.198582
439,2.67271,0.829787
440,2.00908,1.49409
441,1.679,1.86052
442,1.5,2.09693
443,1.50701,2.02128
444,1.701,1.67376
445,2.33752,1.09929
446,3.00929,0.404255
447,3.41954,0.0449173
448,3.80188,0.0
449,3.8202,0.0
450,3.78199,0.0
451,3.56725,0.0
452,3.26293,0.0
453,3.01437,0.0
454,2.72628,0.0
455,2.47149,0.0
456,2.46019,0.0
457,2.3868,0.0
458,2.33124,0.0
459,2.37459,0.0
460,2.61591,0.0
461,3.03333,0.00945626
462,2.86989,0.307329
463,2.19578,1.18676
464,1.5,1.91489
465,1.5,2.41135
466,1.5,2.39953
467,1.5,2.026
468,1.72996,1.513
469,2.60871,0.723404
470,3.10855,0.234043
471,3.42079,0.0189125
472,3.77757,0.0
473,3.815,0.0
474,3.61399,0.0
475,3.50524,0.0
476,3.204,0.0
477,2.28273,0.0
478,2.00144,0.0
479,2.47792,0.0
480,2.45872,0.0
481,2.37698,0.0
482,2.33985,0.0
483,2.38043,0.0
484,2.61291,0.0
485,3.00533,0.00236407
486,2.97022,0.198582
487,2.65242,0.706856
488,2.11669,1.24823
489,1.5,1.86998
490,1.5,2.27896
491,1.5,2.29787
492,1.5,2.03073
493,1.77986,1.43262
494,2.58602,0.58156
495,3.23035,0.0401891
496,3.60923,0.0
497,2.96978,0.0
498,3.63958,0.0
499,3.45474,0.0
500,3.15671,0.0
501,2.92307,0.0
502,2.674,0.0
503,2.4528,0.0
504,2.44408,0.0
505,2.3672,0.0
506,2.33117,0.0
507,2.36469,0.0
508,2.5966,0.0
509,2.97984,0.00236407
510,2.73327,0.330969
511,2.14588,1.14894
