,PV Park
1425,2.430260047281324
1426,2.5390070921985815
1427,2.3900709219858154
1428,2.198581560283688
1429,1.718676122931442
1430,0.9645390070921985
1431,0.3546099290780142
1432,0.0
1433,0.0
1434,0.0
1435,0.0
1436,0.0
1437,0.0
1438,0.0
1439,0.0
1440,0.0
1441,0.0
1442,0.0
1443,0.0
1444,0.0
1445,0.1867612293144208
1446,1.094562647754137
1447,2.1725768321513
1448,2.955082742316785
1449,3.4326241134751774
1450,3.619385342789598
1451,3.6099290780141846
1452,3.3640661938534278
1453,2.595744680851064
1454,1.5366430260047281
1455,0.46099290780141844
1456,0.0
1457,0.0
1458,0.0
1459,0.0
1460,0.0
1461,0.0
1462,0.0
1463,0.0
1464,0.0
1465,0.0
1466,0.0
1467,0.0
1468,0.0
1469,0.24113475177304963
1470,1.1182033096926713
1471,2.1016548463356974
1472,3.104018912529551
1473,3.6879432624113475
1474,3.955082742316785
1475,3.723404255319149
1476,3.1914893617021276
1477,2.5768321513002364
1478,1.7281323877068557
1479,0.574468085106383
1480,0.0
1481,0.0
1482,0.0
1483,0.0
1484,0.0
1485,0.0
1486,0.0
1487,0.0
1488,0.0
1489,0.0
1490,0.0
1491,0.0
1492,0.0
1493,0.25295508274231676
1494,1.2364066193853427
1495,2.4988179669030735
1496,3.49645390070922
1497,4.07565011820331
1498,4.212765957446808
1499,4.1063829787234045
1500,3.645390070921986
1501,3.0023640661938535
1502,1.8794326241134751
1503,0.5933806146572104
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.09929078014184398
1518,0.41371158392434987
1519,0.7943262411347518
1520,1.0094562647754137
1521,1.4160756501182032
1522,1.4799054373522458
1523,1.2884160756501182
1524,1.1134751773049645
1525,0.6997635933806147
1526,0.41843971631205673
1527,0.1347517730496454
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.030732860520094562
1542,0.1773049645390071
1543,0.35933806146572106
1544,0.508274231678487
1545,0.624113475177305
1546,0.8250591016548463
1547,0.8770685579196218
1548,0.6170212765957447
1549,0.31678486997635935
1550,0.15602836879432624
1551,0.04491725768321513
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.06855791962174941
1566,0.5011820330969267
1567,0.9692671394799054
1568,1.2907801418439717
1569,1.5602836879432624
1570,1.6217494089834514
1571,1.3687943262411348
1572,1.2836879432624113
1573,0.9881796690307328
1574,0.5531914893617021
1575,0.1536643026004728
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.11347517730496454
1590,0.41843971631205673
1591,0.7565011820330969
1592,1.115839243498818
1593,1.3002364066193854
1594,1.3735224586288417
1595,1.297872340425532
1596,1.1513002364066194
1597,0.8747044917257684
1598,0.4988179669030733
1599,0.14893617021276595
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.10874704491725769
1614,0.458628841607565
1615,0.9456264775413712
1616,1.4018912529550827
1617,1.6761229314420805
1618,1.5390070921985815
1619,1.4160756501182032
1620,1.099290780141844
1621,0.7423167848699763
1622,0.3971631205673759
1623,0.10401891252955082
1624,0.0
1625,0.0
