,H2
1202,1.145
1203,1.145
1204,1.145
1205,0.0
1206,0.0
1207,0.2339
1208,1.08023
1209,2.3042
1210,3.67556
1211,4.96729
1212,6.1617
1213,6.8776
1214,6.8776
1215,6.8776
1216,6.8776
1217,6.8776
1218,6.8776
1219,5.7326
1220,5.7326
1221,5.7326
1222,5.7326
1223,5.7326
1224,5.7326
1225,5.7326
1226,5.7326
1227,5.7326
1228,5.7326
1229,4.5876
1230,4.5876
1231,5.16126
1232,6.29222
1233,7.78222
1234,9.35039
1235,10.8456
1236,12.1499
1237,12.8461
1238,12.8461
1239,12.8461
1240,12.8461
1241,12.8461
1242,12.8461
1243,12.8461
1244,12.8461
1245,12.8461
1246,12.8461
1247,12.8461
1248,12.8461
1249,12.8461
1250,12.8461
1251,12.8461
1252,12.8461
1253,12.8461
1254,12.8461
1255,12.8461
1256,12.8461
1257,12.8461
1258,12.8461
1259,12.8461
1260,12.8461
1261,12.8461
1262,12.8461
1263,12.8461
1264,12.8461
1265,12.8461
1266,12.8461
1267,12.8461
1268,12.8461
1269,12.8461
1270,12.8461
1271,12.8461
1272,12.8461
1273,12.8461
1274,12.8461
1275,12.8461
1276,12.8461
1277,12.8461
1278,12.8461
1279,12.8461
1280,12.8461
1281,12.8461
1282,12.8461
1283,12.8461
1284,12.8461
1285,12.8461
1286,12.8461
1287,12.8461
1288,12.8461
1289,12.8461
1290,12.8461
1291,12.8461
1292,11.7011
1293,11.4596
1294,10.3146
1295,10.3146
1296,10.3146
1297,10.3146
1298,10.3146
1299,10.3146
1300,10.3146
1301,10.3146
1302,10.3146
1303,10.3146
1304,10.3402
1305,10.6914
1306,11.1303
1307,11.5948
1308,11.9598
1309,12.0029
1310,12.0029
1311,12.0029
1312,12.0029
1313,12.0029
1314,12.0029
1315,12.0029
1316,12.0029
1317,12.0029
1318,12.0029
1319,12.0029
1320,10.8579
1321,10.8579
1322,10.8579
1323,10.8579
1324,10.8579
1325,10.8579
1326,10.8579
1327,10.8579
1328,10.9504
1329,11.3801
1330,12.0877
1331,12.7142
1332,13.3359
1333,13.6145
1334,13.6145
1335,13.6145
1336,13.6145
1337,13.6145
1338,13.6145
1339,13.6145
1340,13.6145
1341,13.6145
1342,13.6145
1343,13.6145
1344,13.6145
1345,13.6145
1346,13.6145
1347,13.6145
1348,13.6145
1349,13.6145
1350,13.6145
1351,13.6145
1352,13.6934
1353,13.6934
1354,13.6934
1355,13.6934
1356,13.6934
1357,13.6934
1358,13.6934
1359,13.6934
1360,13.6934
1361,13.6934
1362,13.6934
1363,13.6934
1364,13.6934
1365,13.6934
1366,13.6934
1367,13.6934
1368,13.6934
1369,13.6934
1370,13.6934
1371,13.6934
1372,13.6934
1373,13.6934
1374,13.6934
1375,13.6934
1376,13.6934
1377,13.6934
1378,13.6934
1379,13.6934
1380,13.6934
1381,13.6934
1382,13.6934
1383,13.6934
1384,13.6934
1385,13.6934
1386,13.6934
1387,13.6934
1388,13.6934
1389,13.6934
1390,13.6934
1391,12.5484
1392,12.5484
1393,11.4034
1394,11.4034
1395,11.4034
1396,11.4034
1397,11.4034
1398,11.4034
1399,11.4034
1400,11.4034
1401,11.4595
1402,11.5309
1403,11.6103
1404,11.7236
1405,11.7236
1406,11.7236
1407,11.7236
1408,11.7236
1409,11.7236
1410,11.7236
1411,11.7236
1412,11.7236
1413,11.7236
1414,11.7236
1415,11.7236
1416,10.5786
1417,10.5786
1418,10.5786
1419,9.93536
1420,9.93536
1421,9.93536
1422,9.93536
1423,10.2168
1424,10.8751
1425,11.521
1426,12.1745
1427,12.7723
1428,13.4071
1429,13.6934
1430,13.6934
1431,13.6934
1432,12.5484
1433,12.5484
1434,12.5484
1435,11.4034
1436,11.4034
1437,11.4034
1438,11.2812
1439,10.1362
1440,8.99116
1441,8.99116
1442,7.85323
1443,6.70823
1444,6.70823
1445,6.70823
1446,6.70823
1447,7.00292
1448,7.83125
1449,9.003
1450,10.3325
1451,11.692
1452,12.9567
1453,13.6757
1454,13.6934
1455,13.6934
1456,12.5484
1457,11.4034
1458,11.4034
1459,10.2584
1460,9.11345
1461,7.96845
1462,6.82345
1463,6.82345
1464,6.82345
1465,5.67845
1466,4.53345
1467,4.53345
1468,4.53345
1469,4.53345
1470,4.53345
1471,4.81214
1472,5.81017
1473,7.22738
1474,8.81834
1475,10.2776
1476,11.4744
1477,12.2411
1478,12.4763
1479,12.4763
1480,11.3313
1481,10.1863
1482,9.04127
1483,9.04127
1484,9.04127
1485,9.04127
1486,7.89627
1487,6.75127
1488,5.60627
1489,5.60627
1490,5.60627
1491,4.94883
1492,3.80383
1493,3.80383
1494,3.80383
1495,4.38822
1496,5.66273
1497,7.3548
