,Line
1417,-2.28091
1418,-2.2026
1419,-1.79716
1420,-2.22277
1421,-2.17555
1422,-1.66647
1423,-1.5
1424,-1.5
1425,-1.5
1426,-1.5
1427,-1.5
1428,-1.5
1429,-1.5
1430,-1.79492
1431,-2.35028
1432,-2.39235
1433,-3.37388
1434,-3.41109
1435,-2.61423
1436,-3.07199
1437,-2.87331
1438,-2.50051
1439,-1.639
1440,-1.614
1441,-2.23213
1442,-1.5
1443,-1.55184
1444,-2.4928
1445,-2.71975
1446,-2.00673
1447,-1.5
1448,-1.5
1449,-1.5
1450,-1.5
1451,-1.5
1452,-1.5
1453,-1.5
1454,-1.5
1455,-2.52386
1456,-2.60776
1457,-2.91617
1458,-3.62396
1459,-2.74015
1460,-2.4524
1461,-2.20832
1462,-1.91212
1463,-2.37603
1464,-2.33794
1465,-1.58251
1466,-1.54935
1467,-2.28954
1468,-2.5161
1469,-2.6333
1470,-1.91621
1471,-1.5
1472,-1.5
1473,-1.5
1474,-1.5
1475,-1.5
1476,-1.5
1477,-1.5
1478,-1.5
1479,-2.29318
1480,-2.52358
1481,-2.85934
1482,-2.88942
1483,-3.38188
1484,-3.10526
1485,-2.84628
1486,-1.87417
1487,-1.6525
1488,-1.6344
1489,-2.2473
1490,-2.19379
1491,-1.85928
1492,-1.77544
1493,-2.53254
1494,-1.739
1495,-1.5
1496,-1.5
1497,-1.5
1498,-1.5
1499,-1.5
1500,-1.5
1501,-1.5
1502,-1.5
1503,-2.33143
1504,-3.27392
1505,-3.61623
1506,-3.63464
1507,-3.4479
1508,-3.15502
1509,-2.22083
1510,-1.93194
1511,-1.71777
1512,-1.70273
1513,-2.3228
1514,-2.28436
1515,-1.63948
1516,-1.84399
1517,-2.79902
1518,-2.66498
1519,-2.46343
1520,-2.30648
1521,-1.965
1522,-1.96923
1523,-2.16359
1524,-2.21504
1525,-2.68264
1526,-2.89527
1527,-3.12255
1528,-3.48004
1529,-3.03892
1530,-3.02499
1531,-2.77136
1532,-2.48483
1533,-2.24592
1534,-1.96489
1535,-2.38761
1536,-2.35224
1537,-2.25429
1538,-2.21379
1539,-2.26593
1540,-2.47801
1541,-2.84186
1542,-2.91686
1543,-2.95437
1544,-2.88794
1545,-2.82549
1546,-2.635
1547,-2.51882
1548,-2.65566
1549,-3.02977
1550,-3.17558
1551,-3.25223
1552,-3.4664
1553,-3.62624
1554,-3.58766
1555,-3.38339
1556,-3.1143
1557,-2.92577
1558,-2.67496
1559,-2.45695
1560,-2.44476
1561,-2.32871
1562,-2.26649
1563,-2.27804
1564,-2.35396
1565,-2.45466
1566,-2.31323
1567,-2.18102
1568,-1.95772
1569,-1.8173
1570,-1.77724
1571,-2.00335
1572,-1.91671
1573,-2.22337
1574,-2.60919
1575,-2.93672
1576,-3.38269
1577,-3.6344
1578,-3.56012
1579,-3.35294
1580,-3.09577
1581,-2.92424
1582,-2.65949
1583,-2.43507
1584,-2.39351
1585,-2.29614
1586,-2.21887
1587,-2.20128
1588,-2.23531
1589,-2.18911
1590,-2.06814
1591,-2.02305
1592,-1.9334
1593,-1.92
1594,-1.88828
1595,-1.84363
1596,-1.74684
1597,-2.0342
1598,-2.37269
1599,-2.67746
1600,-3.11747
1601,-3.4038
1602,-3.40407
1603,-3.29705
1604,-3.06943
1605,-2.87071
1606,-2.57341
1607,-2.33752
1608,-2.33129
1609,-2.26289
1610,-2.21472
1611,-2.2607
1612,-2.49368
1613,-2.81266
1614,-2.67387
1615,-2.45793
1616,-2.06934
1617,-1.82325
1618,-1.9963
1619,-2.11992
1620,-2.35405
1621,-2.80586
1622,-3.17184
1623,-3.37498
1624,-3.68445
1625,-3.90602
1626,-3.88324
1627,-3.649
1628,-3.3266
1629,-3.08344
1630,-2.78632
1631,-2.53062
1632,-2.5155
1633,-2.43436
1634,-2.3677
1635,-2.40688
1636,-2.62093
1637,-2.95412
1638,-2.71142
1639,-2.32841
1640,-1.82605
1641,-1.5
1642,-1.5
1643,-1.5
1644,-1.5842
1645,-2.06415
1646,-2.60644
1647,-3.10324
1648,-3.6319
1649,-3.94242
1650,-3.9485
1651,-3.68454
1652,-2.99115
1653,-3.09798
1654,-2.77569
1655,-2.51817
1656,-2.5154
1657,-2.43467
1658,-2.38339
1659,-2.4147
1660,-2.63515
1661,-2.85571
1662,-2.40662
1663,-1.87841
1664,-1.5
1665,-1.5
1666,-1.5
1667,-1.5
1668,-1.83556
1669,-2.3165
1670,-2.7195
1671,-3.07825
1672,-3.51978
1673,-3.77739
1674,-3.76347
1675,-3.62212
1676,-3.32936
1677,-3.0812
1678,-2.78407
1679,-2.53529
1680,-2.40856
1681,-2.41097
1682,-2.37119
1683,-2.4162
1684,-2.60885
1685,-2.73819
1686,-2.12884
1687,-1.5
1688,-1.5
1689,-1.5
1690,-1.5
1691,-1.5
1692,-1.5
1693,-1.5
1694,-1.77669
